"","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Tenure","MonthlyCharge","Bandwidth_GB_Year","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Churn_Yes","Techie_Yes","Port_modem_Yes","Tablet_Yes","InternetService_Fiber_Optic","InternetService_None","Phone_Yes","Multiple_Yes","OnlineSecurity_Yes","OnlineBackup_Yes","DeviceProtection_Yes","TechSupport_Yes","StreamingTV_Yes","StreamingMovies_Yes","PaperlessBilling_Yes","PaymentMethod_Credit_Card_(automatic)","PaymentMethod_Electronic_Check","PaymentMethod_Mailed_Check"
"Outage_sec_perweek",1,0.01,0.02,0,0,0.02,0,-0.02,-0.01,0,-0.02,0.01,-0.01,-0.01,0,0,-0.01,0,0.01,0.01,0.01,-0.03,0.01,0,0.02,0.01,-0.02,0,0.02,-0.02,0,0.01,0
"Email",0.01,1,0.01,0,-0.02,-0.01,-0.02,0.01,0,0,0,-0.02,0.02,0.01,-0.01,0.01,-0.01,0.03,0,0.01,0,-0.01,0,-0.03,-0.02,0,0.02,0,-0.01,-0.01,0,-0.01,0.02
"Contacts",0.02,0.01,1,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.02,0.01,0,0.01,0,-0.02,0,0,0,-0.01,-0.01,-0.01,0,-0.02,0.01,0.01,0,-0.01,0,0.01,0,-0.01,0,-0.02
"Yearly_equip_failure",0,0,-0.01,1,0.02,0,0.02,0.01,0,0.01,-0.01,0,-0.01,-0.02,-0.02,-0.02,-0.02,0,0,-0.01,0,-0.01,0,-0.03,-0.01,-0.01,0.01,0.01,0,0.02,-0.01,0.02,0
"Tenure",0,-0.02,0.01,0.02,1,-0.01,0.99,0,0.02,0.01,-0.01,0.03,-0.02,0.01,-0.01,-0.58,0,0.02,-0.02,-0.01,-0.02,0,-0.01,0.01,0.02,-0.02,-0.01,0,-0.01,-0.01,0,0.01,0
"MonthlyCharge",0.02,-0.01,-0.01,0,-0.01,1,0.05,0,-0.01,-0.01,-0.01,0,0,-0.02,-0.01,0.39,0,-0.01,0.01,0.29,-0.24,-0.05,0.37,0.05,0.26,0.16,0.11,0.47,0.6,0.01,-0.01,0,-0.01
"Bandwidth_GB_Year",0,-0.02,0.01,0.02,0.99,0.05,1,0,0.02,0.01,-0.01,0.03,-0.02,0.01,-0.01,-0.54,0,0.02,-0.02,-0.07,-0.05,0,0,0.03,0.04,0,-0.01,0.05,0.04,-0.01,0,0.01,0
"Item1",-0.02,0.01,-0.01,0.01,0,0,0,1,0.66,0.58,0,-0.01,0.41,0.35,0.31,-0.01,0.01,-0.01,0.02,0.02,-0.03,0.01,0.01,0.03,0,-0.01,0.04,-0.01,-0.01,0.02,-0.01,0.01,-0.01
"Item2",-0.01,0,-0.01,0,0.02,-0.01,0.02,0.66,1,0.53,0,-0.01,0.38,0.31,0.25,-0.03,0.02,0,0.02,0,-0.02,0.04,-0.01,0.01,0.01,-0.02,0.02,-0.02,-0.01,0,-0.02,0.03,-0.01
"Item3",0,0,-0.02,0.01,0.01,-0.01,0.01,0.58,0.53,1,0,-0.02,0.33,0.26,0.21,-0.01,0.03,-0.02,0,-0.01,-0.01,0,0,0.02,0,-0.01,0.02,-0.02,0,0.01,0,0.01,0
"Item4",-0.02,0,0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,1,-0.43,0.23,0.19,0.15,-0.01,0,0.02,-0.01,0.01,-0.02,0,0,0,-0.03,-0.02,0.01,0,-0.02,0.02,0.02,-0.01,-0.01
"Item5",0.01,-0.02,0,0,0.03,0,0.03,-0.01,-0.01,-0.02,-0.43,1,-0.31,-0.27,-0.19,-0.02,-0.01,-0.02,-0.01,-0.02,0.02,0.01,0.01,0,0.01,0,-0.01,0,0.01,0,-0.01,0.02,-0.01
"Item6",-0.01,0.02,0.01,-0.01,-0.02,0,-0.02,0.41,0.38,0.33,0.23,-0.31,1,0.37,0.3,0.01,0.01,0,0,0.02,-0.03,-0.01,0,0.01,0,-0.01,0.02,-0.01,0,0,-0.01,-0.01,0.01
"Item7",-0.01,0.01,0,-0.02,0.01,-0.02,0.01,0.35,0.31,0.26,0.19,-0.27,0.37,1,0.26,-0.01,0.01,0,0,0,-0.02,0.02,0,-0.01,0.01,-0.02,0.02,-0.03,-0.02,0.01,0.01,0,0.01
"Item8",0,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,0.31,0.25,0.21,0.15,-0.19,0.3,0.26,1,0,0,0,0.01,0,-0.01,0.01,-0.01,0.02,-0.01,0.01,0.01,0.02,-0.02,0.02,-0.01,0,0
"Churn_Yes",0,0.01,0,-0.02,-0.58,0.39,-0.54,-0.01,-0.03,-0.01,-0.01,-0.02,0.01,-0.01,0,1,0.08,0,0.01,-0.07,-0.04,-0.04,0.15,-0.01,0.06,0.06,0,0.24,0.3,0.01,-0.02,0.03,-0.01
"Techie_Yes",-0.01,-0.01,0,-0.02,0,0,0,0.01,0.02,0.03,0,-0.01,0.01,0.01,0,0.08,1,-0.03,0.01,0,0,0,0,0,-0.01,0.02,0.01,0.01,-0.02,-0.02,0.02,0,-0.02
"Port_modem_Yes",0,0.03,0,0,0.02,-0.01,0.02,-0.01,0,-0.02,0.02,-0.02,0,0,0,0,-0.03,1,-0.02,-0.02,0.02,0,-0.02,0.01,0,0,0,0,0.01,0.02,-0.01,0,0
"Tablet_Yes",0.01,0,-0.01,0,-0.02,0.01,-0.02,0.02,0.02,0,-0.01,-0.01,0,0,0.01,0.01,0.01,-0.02,1,-0.01,0.01,0.02,-0.01,0,0,0.01,0,0.01,0.03,0.01,-0.01,0.01,0.01
"InternetService_Fiber_Optic",0.01,0.01,-0.01,-0.01,-0.01,0.29,-0.07,0.02,0,-0.01,0.01,-0.02,0.02,0,0,-0.07,0,-0.02,-0.01,1,-0.46,-0.01,0.01,0.02,0.01,0.01,-0.02,-0.01,0,0.02,0.02,-0.03,0.01
"InternetService_None",0.01,0,-0.01,0,-0.02,-0.24,-0.05,-0.03,-0.02,-0.01,-0.02,0.02,-0.03,-0.02,-0.01,-0.04,0,0.02,0.01,-0.46,1,0.02,-0.02,-0.02,-0.01,-0.01,-0.01,0,0.01,0,0,0.03,-0.01
"Phone_Yes",-0.03,-0.01,0,-0.01,0,-0.05,0,0.01,0.04,0,0,0.01,-0.01,0.02,0.01,-0.04,0,0,0.02,-0.01,0.02,1,-0.02,0,-0.01,-0.05,0,-0.03,-0.02,-0.01,-0.01,-0.01,0.01
"Multiple_Yes",0.01,0,-0.02,0,-0.01,0.37,0,0.01,-0.01,0,0,0.01,0,0,-0.01,0.15,0,-0.02,-0.01,0.01,-0.02,-0.02,1,0,-0.02,0.01,-0.01,-0.02,0,0.01,-0.03,-0.01,0.01
"OnlineSecurity_Yes",0,-0.03,0.01,-0.03,0.01,0.05,0.03,0.03,0.01,0.02,0,0,0.01,-0.01,0.02,-0.01,0,0.01,0,0.02,-0.02,0,0,1,0,0.01,0.01,0,0.02,-0.01,0,0.01,-0.01
"OnlineBackup_Yes",0.02,-0.02,0.01,-0.01,0.02,0.26,0.04,0,0.01,0,-0.03,0.01,0,0.01,-0.01,0.06,-0.01,0,0,0.01,-0.01,-0.01,-0.02,0,1,0.03,0,-0.02,0,0,-0.01,0,-0.01
"DeviceProtection_Yes",0.01,0,0,-0.01,-0.02,0.16,0,-0.01,-0.02,-0.01,-0.02,0,-0.01,-0.02,0.01,0.06,0.02,0,0.01,0.01,-0.01,-0.05,0.01,0.01,0.03,1,-0.02,-0.01,0.02,0.03,0,-0.02,0.01
"TechSupport_Yes",-0.02,0.02,-0.01,0.01,-0.01,0.11,-0.01,0.04,0.02,0.02,0.01,-0.01,0.02,0.02,0.01,0,0.01,0,0,-0.02,-0.01,0,-0.01,0.01,0,-0.02,1,-0.01,-0.03,0,-0.01,0,-0.01
"StreamingTV_Yes",0,0,0,0.01,0,0.47,0.05,-0.01,-0.02,-0.02,0,0,-0.01,-0.03,0.02,0.24,0.01,0,0.01,-0.01,0,-0.03,-0.02,0,-0.02,-0.01,-0.01,1,-0.02,-0.01,-0.01,0,-0.01
"StreamingMovies_Yes",0.02,-0.01,0.01,0,-0.01,0.6,0.04,-0.01,-0.01,0,-0.02,0.01,0,-0.02,-0.02,0.3,-0.02,0.01,0.03,0,0.01,-0.02,0,0.02,0,0.02,-0.03,-0.02,1,0,0.01,0.02,-0.01
"PaperlessBilling_Yes",-0.02,-0.01,0,0.02,-0.01,0.01,-0.01,0.02,0,0.01,0.02,0,0,0.01,0.02,0.01,-0.02,0.02,0.01,0.02,0,-0.01,0.01,-0.01,0,0.03,0,-0.01,0,1,-0.01,0,0
"PaymentMethod_Credit_Card_(automatic)",0,0,-0.01,-0.01,0,-0.01,0,-0.01,-0.02,0,0.02,-0.01,-0.01,0.01,-0.01,-0.02,0.02,-0.01,-0.01,0.02,0,-0.01,-0.03,0,-0.01,0,-0.01,-0.01,0.01,-0.01,1,-0.37,-0.28
"PaymentMethod_Electronic_Check",0.01,-0.01,0,0.02,0.01,0,0.01,0.01,0.03,0.01,-0.01,0.02,-0.01,0,0,0.03,0,0,0.01,-0.03,0.03,-0.01,-0.01,0.01,0,-0.02,0,0,0.02,0,-0.37,1,-0.39
"PaymentMethod_Mailed_Check",0,0.02,-0.02,0,0,-0.01,0,-0.01,-0.01,0,-0.01,-0.01,0.01,0.01,0,-0.01,-0.02,0,0.01,0.01,-0.01,0.01,0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,0,-0.28,-0.39,1
